state,code,btu_2019,2020_btu,2021
AK,TEEIB,55048,55302,56352
AK,TEICB,336003,363476,378218
AK,TEIPB,458,495.9,515.2
AK,TERCB,48529,54179,55356
AK,TERPB,66.2,73.9,75.4
AK,TETCB,605430,639944,684202
AK,TETGR,11.33,12.62,13.45
AK,TETPB,825.3,873.1,931.9
AK,TETXB,605928,640267,684339
AK,TNACB,164490,164725,189742
AK,TNCCB,40945,42911,45598
AK,TNICB,328432,355736,370220
AK,TNRCB,36867,41784,42794
AK,TNTXB,570733,605155,648354
AK,TPOPP,734,733,734
AK,UOICB,1190,1740,463
AK,USICB,0,0,0
AK,WDCCB,801,1115,1091
AK,WDEIB,0,0,0
AK,WDGBP,0,0,0
AK,WDICB,70,70,70
AK,WDRCB,5547,6231,6080
AK,WDTCB,6417,7415,7240
AK,WSCCB,378,405,397
AK,WSEIB,0,0,0
AK,WSGBP,7,7,7
AK,WSICB,8,2,1
AK,WSTCB,386,407,398
AK,WWCCB,1178,1519,1488
AK,WWEIB,0,0,0
AK,WWICB,78,72,71
AK,WWTCB,6803,7822,7639
AK,WWTXB,6803,7822,7639
AK,WXICB,0,0,0
AK,WYCCB,0,0,0
AK,WYEGB,1269,1127,1169
AK,WYGBP,61,60,59
AK,WYICB,0,0,0
AK,WYTCB,1269,1127,1169
AK,WYTXB,0,0,0
AK,ZWCDP,93,5,30
AK,ZWHDP,8998,10781,10976
AL,ABICB,-9,-6,-6
AL,ARICB,12470,13807,13875
AL,ARTCB,12470,13807,13875
AL,ARTXB,12470,13807,13875
AL,AVACB,361,320,369
AL,AVTCB,361,320,369
AL,AVTXB,361,320,369
AL,B1ACB,0,0,0
AL,B1TCB,0,0,0
AL,BDACB,5195,5351,3803
AL,BDLCB,20,21,22
AL,BDTCB,5195,5351,3803
AL,BFLCB,20,21,22
AL,BFTCB,27276,26927,29273
AL,BMTCB,193284,187599,196574
AL,BQICB,0,0,0
AL,BQTCB,0,0,0
AL,BTGBP,1,1,1
AL,BYICB,0,0,0
AL,BYTCB,0,0,0
AL,CLACB,0,0,0
AL,CLCCB,0,0,0
AL,CLEIB,268395,219945,270310
AL,CLGBP,5284,4728,4728
AL,CLICB,48785,36742,39482
AL,CLKCB,28303,22153,21663
AL,CLOCB,20482,14589,17819
AL,CLRCB,0,0,0
AL,CLTCB,317180,256687,309791
AL,CLTXB,48785,36742,39482
AL,COICB,0,0,0
AL,DFACB,130946,126992,132979
AL,DFCCB,4622,3705,4698
AL,DFEIB,167,74,211
AL,DFICB,20177,21929,21427
AL,DFRCB,23,14,144
AL,DFTCB,155936,152714,159458
AL,DFTXB,155768,152640,159248
AL,DKEIB,167,74,211
AL,DMTCB,150939,147458,157055
AL,ELEXB,0,0,0
AL,ELGBP,29256,28739,28911
AL,ELIMB,0,0,0
AL,ELISB,-422596,-419166,-448285
AL,ELNIB,0,0,0
AL,EMACB,21400,20913,24777
AL,EMCCB,371,361,381
AL,EMICB,290,282,290
AL,EMLCB,0,0,0
AL,EMTCB,22061,21556,25448
AL,EQICB,0,0,0
AL,EQTCB,0,0,0
AL,ESACB,0,0,0
AL,ESCCB,78737,72702,74533
AL,ESICB,111241,104942,109715
AL,ESRCB,110602,106902,107769
AL,ESTCB,300581,284546,292017
AL,ESTXB,300581,284546,292017
AL,EYICB,0,0,0
AL,EYTCB,0,0,0
AL,FFGBP,19610,19089,19125
AL,FFTCB,1595230,1497435,1629357
AL,FNICB,0,0,0
AL,FOICB,0,0,0
AL,FSICB,0,0,0
AL,GDPRV,231561.9,230892.1,254109.7
AL,GDPRX,203433,199881,209979
AL,GECCB,0,0,0
AL,GEEGB,0,0,0
AL,GEGBP,0,0,0
AL,GEICB,42,42,42
AL,GERCB,99,99,99
AL,GETCB,141,141,141
AL,GETXB,141,141,141
AL,HLACB,160,130,152
AL,HLCCB,2113,2220,2749
AL,HLICB,1913,1959,2795
AL,HLRCB,6034,5802,4511
AL,HLTCB,10220,10111,10206
AL,HLTXB,10220,10111,10206
AL,HPGBP,0,0,0
AL,HVGBP,3292,3292,3292
AL,HYCCB,0,0,0
AL,HYEGB,101495,117032,101890
AL,HYICB,0,0,0
AL,HYTCB,101495,117032,101890
AL,HYTXB,0,0,0
AL,IQICB,0,0,0
AL,IQTCB,0,0,0
AL,IYICB,0,0,0
AL,IYTCB,0,0,0
AL,JFACB,12098,8775,9615
AL,JFTCB,12098,8775,9615
AL,JFTXB,12098,8775,9615
AL,KSCCB,14,15,11
AL,KSICB,13,10,16
AL,KSRCB,11,6,11
AL,KSTCB,38,30,38
AL,KSTXB,38,30,38
AL,LOACB,0,0,0
AL,LOCCB,140765,127908,132800
AL,LOICB,198876,184629,195487
AL,LORCB,197733,188076,192018
AL,LOTCB,537373,500612,520304
AL,LOTXB,537373,500612,520304
AL,LUACB,2554,2481,2622
AL,LUICB,1589,1589,1533
AL,LUTCB,4143,4070,4156
AL,LUTXB,4143,4070,4156
AL,MBICB,0,0,0
AL,MGACB,326557,330596,375011
AL,MGCCB,5661,5706,5769
AL,MGICB,4427,4456,4391
AL,MGTCB,336645,340758,385172
AL,MGTXB,336645,340758,385172
AL,MMTCB,314584,319202,359723
AL,MSICB,2682,2541,2543
AL,NAICB,0,0,0
AL,NGACB,24630,26290,25856
AL,NGCCB,25570,23603,26474
AL,NGEIB,430679,408613,402384
AL,NGGBP,14263,14299,14351
AL,NGICB,236381,227329,251649
AL,NGRCB,31472,29036,33181
AL,NGTCB,748731,714871,739546
AL,NGTPB,152.6,142.1,146.4
AL,NGTXB,318053,306258,337161
AL,NNTCB,748731,714871,739546
AL,NUEGB,455865,454930,480897
AL,NUETB,455865,454930,480897
AL,NUGBP,5525,5545,5453
AL,OHICB,0,0,0
AL,OJGBP,20,20,4
AL,OMTCB,17318,16921,16360
AL,OPACB,0,0,2190
AL,OPICB,17318,16921,16360
AL,OPTCB,17318,16921,18550
AL,OPTXB,17318,16921,18550
AL,OTGBP,0,0,0
AL,P1ICB,31391,32326,31784
AL,P1TCB,34331,35147,36987
AL,P1TXB,34331,35147,36987
AL,PAACB,476228,471860,527787
AL,PACCB,12411,11715,13252
AL,PAEIB,167,74,211
AL,PAGBP,43,43,43
AL,PAICB,61503,63218,64145
AL,PARCB,6068,5822,4666
AL,PATCB,556377,552689,610061
AL,PATPB,113.4,109.8,120.8
AL,PATXB,556210,552615,609850
AL,PCCCB,0,0,0
