"st_abbreviation","2019","2020","2021","2022","2023","code","btu_2019","btu_2020","btu_2021"
"AK","733374","732964","734923","733276","733406","KSICB","0","0","0"
"AK","733374","732964","734923","733276","733406","KSRCB","0","0","0"
"AK","733374","732964","734923","733276","733406","KSTCB","0","0","1"
"AK","733374","732964","734923","733276","733406","KSTXB","0","0","1"
"AK","733374","732964","734923","733276","733406","LOACB","0","0","0"
"AK","733374","732964","734923","733276","733406","LOCCB","15961","14977","15424"
"AK","733374","732964","734923","733276","733406","LOICB","7571","7740","7998"
"AK","733374","732964","734923","733276","733406","LORCB","11663","12395","12562"
"AK","733374","732964","734923","733276","733406","LOTCB","35194","35111","35985"
"AK","733374","732964","734923","733276","733406","LOTXB","35194","35111","35985"
"AK","733374","732964","734923","733276","733406","LUACB","543","507","417"
"AK","733374","732964","734923","733276","733406","LUICB","1136","1049","904"
"AK","733374","732964","734923","733276","733406","LUTCB","1679","1556","1321"
"AK","733374","732964","734923","733276","733406","LUTXB","1679","1556","1321"
"AK","733374","732964","734923","733276","733406","MBICB","0","0","0"
"AK","733374","732964","734923","733276","733406","MGACB","32213","28453","30930"
"AK","733374","732964","734923","733276","733406","MGCCB","527","528","536"
"AK","733374","732964","734923","733276","733406","MGICB","525","539","524"
"AK","733374","732964","734923","733276","733406","MGTCB","33265","29520","31989"
"AK","733374","732964","734923","733276","733406","MGTXB","33265","29520","31989"
"AK","733374","732964","734923","733276","733406","MMTCB","33265","29520","31989"
"AK","733374","732964","734923","733276","733406","MSICB","0","0","0"
"AK","733374","732964","734923","733276","733406","NAICB","0","0","0"
"AK","733374","732964","734923","733276","733406","NGACB","357","382","484"
"AK","733374","732964","734923","733276","733406","NGCCB","14318","16330","16439"
"AK","733374","732964","734923","733276","733406","NGEIB","24442","22908","25518"
"AK","733374","732964","734923","733276","733406","NGGBP","1283","1273","1273"
"AK","733374","732964","734923","733276","733406","NGICB","286627","313238","321064"
"AK","733374","732964","734923","733276","733406","NGRCB","17640","20709","21054"
"AK","733374","732964","734923","733276","733406","NGTCB","343384","373567","384560"
"AK","733374","732964","734923","733276","733406","NGTPB","468.1","509.7","523.8"
"AK","733374","732964","734923","733276","733406","NGTXB","318941","350659","359042"
"AK","733374","732964","734923","733276","733406","NNTCB","343384","373567","384560"
"AK","733374","732964","734923","733276","733406","NUEGB","0","0","0"
"AK","733374","732964","734923","733276","733406","NUETB","0","0","0"
"AK","733374","732964","734923","733276","733406","NUGBP","0","0","0"
"AK","733374","732964","734923","733276","733406","OHICB","0","0","0"
"AK","733374","732964","734923","733276","733406","OJGBP","0","0","0"
"AK","733374","732964","734923","733276","733406","OMTCB","14609","14560","14385"
"AK","733374","732964","734923","733276","733406","OPACB","0","0","498"
"AK","733374","732964","734923","733276","733406","OPICB","14609","14560","14385"
"AK","733374","732964","734923","733276","733406","OPTCB","14609","14560","14883"
"AK","733374","732964","734923","733276","733406","OPTXB","14609","14560","14883"
"AK","733374","732964","734923","733276","733406","OTGBP","2","2","2"
"AK","733374","732964","734923","733276","733406","P1ICB","27719","28001","28714"
"AK","733374","732964","734923","733276","733406","P1TCB","29507","29423","30666"
"AK","733374","732964","734923","733276","733406","P1TXB","29507","29423","30666"
"AK","733374","732964","734923","733276","733406","PAACB","164133","164343","189258"
"AK","733374","732964","734923","733276","733406","PACCB","8622","7820","9955"
"AK","733374","732964","734923","733276","733406","PAEIB","5016","5826","4919"
"AK","733374","732964","734923","733276","733406","PAGBP","739","740","743"
"AK","733374","732964","734923","733276","733406","PAICB","37438","37955","44535"
"AK","733374","732964","734923","733276","733406","PARCB","6971","7566","8375"
"AK","733374","732964","734923","733276","733406","PATCB","222181","223510","257043"
"AK","733374","732964","734923","733276","733406","PATPB","302.9","305","350.1"
"AK","733374","732964","734923","733276","733406","PATXB","217165","217685","252123"
"AK","733374","732964","734923","733276","733406","PCCCB","0","0","0"
"AK","733374","732964","734923","733276","733406","PCEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","PCICB","0","0","0"
"AK","733374","732964","734923","733276","733406","PCTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","PCTXB","0","0","0"
"AK","733374","732964","734923","733276","733406","PLICB","0","0","0"
"AK","733374","732964","734923","733276","733406","PMTCB","220818","222323","256041"
"AK","733374","732964","734923","733276","733406","PPICB","0","0","0"
"AK","733374","732964","734923","733276","733406","PPTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","PQACB","16","1","6"
"AK","733374","732964","734923","733276","733406","PQCCB","786","708","816"
"AK","733374","732964","734923","733276","733406","PQICB","129","117","126"
"AK","733374","732964","734923","733276","733406","PQRCB","398","436","419"
"AK","733374","732964","734923","733276","733406","PQTCB","1329","1263","1367"
"AK","733374","732964","734923","733276","733406","PQTXB","1329","1263","1367"
"AK","733374","732964","734923","733276","733406","PYICB","0","0","0"
"AK","733374","732964","734923","733276","733406","PYTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","REACB","865","865","865"
"AK","733374","732964","734923","733276","733406","RECCB","2434","3040","3106"
"AK","733374","732964","734923","733276","733406","REEIB","14555","15168","14610"
"AK","733374","732964","734923","733276","733406","REGBP","539","537","542"
"AK","733374","732964","734923","733276","733406","REICB","78","72","72"
"AK","733374","732964","734923","733276","733406","RERCB","5677","6381","6255"
"AK","733374","732964","734923","733276","733406","RETCB","23608","25527","24907"
"AK","733374","732964","734923","733276","733406","RFACB","0","0","0"
"AK","733374","732964","734923","733276","733406","RFCCB","0","0","0"
"AK","733374","732964","734923","733276","733406","RFEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","RFICB","0","0","0"
"AK","733374","732964","734923","733276","733406","RFTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","RFTXB","0","0","0"
"AK","733374","732964","734923","733276","733406","SFCCB","0","0","0"
"AK","733374","732964","734923","733276","733406","SFEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","SFINB","0","0","0"
"AK","733374","732964","734923","733276","733406","SFRCB","0","0","0"
"AK","733374","732964","734923","733276","733406","SFTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","SGICB","13430","12828","13930"
"AK","733374","732964","734923","733276","733406","SNICB","0","0","0"
"AK","733374","732964","734923","733276","733406","SOCCB","11","14","37"
"AK","733374","732964","734923","733276","733406","SOEGB","0","0","0"
"AK","733374","732964","734923","733276","733406","SOGBP","0","0","1"
"AK","733374","732964","734923","733276","733406","SOICB","0","0","1"
"AK","733374","732964","734923","733276","733406","SORCB","28","48","73"
"AK","733374","732964","734923","733276","733406","SOTCB","40","62","112"
"AK","733374","732964","734923","733276","733406","SOTXB","40","62","112"
"AK","733374","732964","734923","733276","733406","TEACB","164490","164725","189742"
"AK","733374","732964","734923","733276","733406","TEAPB","224.2","224.8","258.4"
"AK","733374","732964","734923","733276","733406","TECCB","56906","57887","61022"
"AK","733374","732964","734923","733276","733406","TECPB","77.6","79","83.1"
"AK","733374","732964","734923","733276","733406","TEEIB","55048","55302","56352"
"AK","733374","732964","734923","733276","733406","TEICB","336003","363476","378218"
"AK","733374","732964","734923","733276","733406","TEIPB","458","495.9","515.2"
"AK","733374","732964","734923","733276","733406","TERCB","48529","54179","55356"
"AK","733374","732964","734923","733276","733406","TERPB","66.2","73.9","75.4"
"AK","733374","732964","734923","733276","733406","TETCB","605430","639944","684202"
"AK","733374","732964","734923","733276","733406","TETGR","11.33","12.62","13.45"
"AK","733374","732964","734923","733276","733406","TETPB","825.3","873.1","931.9"
"AK","733374","732964","734923","733276","733406","TETXB","605928","640267","684339"
"AK","733374","732964","734923","733276","733406","TNACB","164490","164725","189742"
"AK","733374","732964","734923","733276","733406","TNCCB","40945","42911","45598"
"AK","733374","732964","734923","733276","733406","TNICB","328432","355736","370220"
"AK","733374","732964","734923","733276","733406","TNRCB","36867","41784","42794"
"AK","733374","732964","734923","733276","733406","TNTXB","570733","605155","648354"
"AK","733374","732964","734923","733276","733406","TPOPP","734","733","734"
"AK","733374","732964","734923","733276","733406","UOICB","1190","1740","463"
"AK","733374","732964","734923","733276","733406","USICB","0","0","0"
"AK","733374","732964","734923","733276","733406","WDCCB","801","1115","1091"
"AK","733374","732964","734923","733276","733406","WDEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","WDGBP","0","0","0"
"AK","733374","732964","734923","733276","733406","WDICB","70","70","70"
"AK","733374","732964","734923","733276","733406","WDRCB","5547","6231","6080"
"AK","733374","732964","734923","733276","733406","WDTCB","6417","7415","7240"
"AK","733374","732964","734923","733276","733406","WSCCB","378","405","397"
"AK","733374","732964","734923","733276","733406","WSEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","WSGBP","7","7","7"
"AK","733374","732964","734923","733276","733406","WSICB","8","2","1"
"AK","733374","732964","734923","733276","733406","WSTCB","386","407","398"
"AK","733374","732964","734923","733276","733406","WWCCB","1178","1519","1488"
"AK","733374","732964","734923","733276","733406","WWEIB","0","0","0"
"AK","733374","732964","734923","733276","733406","WWICB","78","72","71"
"AK","733374","732964","734923","733276","733406","WWTCB","6803","7822","7639"
"AK","733374","732964","734923","733276","733406","WWTXB","6803","7822","7639"
"AK","733374","732964","734923","733276","733406","WXICB","0","0","0"
"AK","733374","732964","734923","733276","733406","WYCCB","0","0","0"
"AK","733374","732964","734923","733276","733406","WYEGB","1269","1127","1169"
